entity_id,entity_type,timestamp,source_ip,geo_location,resource_accessed,auth_method,session_duration,command_sequence,device_fingerprint,label
DEV-0012,edge_device,2024-01-01T03:08:26,96.82.0.154,SA-East,/db/admin,biometric,13.16,"login,search,view,logout",macOS-14.2/ARM64|86:5b:36:98:65:4e,normal
DEV-0091,edge_device,2024-01-01T03:19:51,174.80.37.114,AP-South,/db/read,biometric,18.11,"connect,heartbeat,disconnect",IoT-RTOS-2.4|82:eb:82:04:ee:93,normal
DEV-0116,edge_device,2024-01-01T03:27:12,88.80.189.80,EU-Central,/storage/download,biometric,62.07,"login,upload,verify,logout",Windows-11/22H2|0f:2e:6e:c0:d6:e8,normal
USR-0068,user,2024-01-01T03:42:35,208.155.43.64,EU-West,/ssh/connect,biometric,49.59,"login,read,read,logout",IoT-RTOS-2.4|cd:fb:25:1b:4d:4c,normal
USR-0061,user,2024-01-01T05:14:07,133.97.43.62,SA-East,/ssh/connect,certificate,82.23,"login,upload,verify,logout",FW-EdgeOS-3.1|b5:84:ae:8f:8d:05,normal
USR-0034,user,2024-01-01T05:18:29,210.235.179.79,EU-Central,/api/tokens,token,96.97,"connect,heartbeat,disconnect",Ubuntu-22.04/x86_64|37:c3:13:f0:71:66,normal
SVC-0188,service_account,2024-01-01T05:29:21,85.83.234.166,EU-Central,/db/admin,password,6.54,"login,read,read,logout",RHEL-9.3/x86_64|fc:44:ef:8b:62:39,normal
SVC-0111,service_account,2024-01-01T05:37:41,213.43.47.111,AP-South,/network/vpn,password,81.25,"connect,heartbeat,disconnect",Ubuntu-22.04/x86_64|82:bf:4e:f2:22:2e,normal
DEV-0011,edge_device,2024-01-01T06:02:34,41.232.1.245,US-West,/ssh/connect,biometric,15.56,"login,search,view,logout",Windows-11/22H2|3a:88:ae:39:96:de,normal
USR-0031,user,2024-01-01T06:15:04,111.65.21.79,AF-South,/ssh/connect,token,12.26,"login,search,view,logout",macOS-14.2/ARM64|39:26:4c:12:bd:4b,normal
USR-0096,user,2024-01-01T06:23:14,192.173.58.120,US-West,/api/users,password,86.88,"login,upload,verify,logout",iOS-17.2/ARM64|bb:8b:54:83:f6:97,normal
SVC-0108,service_account,2024-01-01T06:24:32,83.75.33.33,EU-West,/network/firewall,token,38.97,"connect,scan,bruteforce,escalate,exfiltrate",Windows-11/22H2|da:37:fb:e3:25:29,lateral_movement
USR-0023,user,2024-01-01T06:27:50,13.244.80.15,AP-South,/api/reports,sso,90.63,"login,read,read,logout",FW-EdgeOS-3.1|97:6f:1d:1f:a0:1d,normal
DEV-0131,edge_device,2024-01-01T06:33:31,73.129.76.86,SA-East,/network/scan,certificate,50.96,"login,read,read,logout",Windows-11/22H2|1a:ab:21:a8:30:c5,normal
USR-0153,user,2024-01-01T06:53:36,94.81.15.37,ME-Central,/api/deploy,token,19.77,"login,search,view,logout",FW-EdgeOS-3.1|b4:de:8c:1d:26:cf,normal
DEV-0019,edge_device,2024-01-01T06:55:59,64.98.97.138,US-East,/api/logs,sso,116.35,"login,read,read,logout",ChromeOS-120/x86_64|1b:32:1f:ce:ad:37,normal
